------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=10723; ReceivedMessages=10722
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.098 sec; SentMessages=10722; ReceivedMessages=10722
sockperf: [2;35m====> avg-lat=1403.174 (std-dev=607.716)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 10722 observations[0m; each percentile contains 107.22 observations
sockperf: ---> <MAX> observation = 4224.790
sockperf: ---> percentile 99.999 = 4224.790
sockperf: ---> percentile 99.990 = 4216.410
sockperf: ---> percentile 99.900 = 4137.620
sockperf: ---> percentile 99.000 = 3016.060
sockperf: ---> percentile 90.000 = 2806.930
sockperf: ---> percentile 75.000 = 1301.720
sockperf: ---> percentile 50.000 = 1264.330
sockperf: ---> percentile 25.000 = 1225.590
sockperf: ---> <MIN> observation =  707.280
------------------------------
txTime, rxTime
301794.952967210, 301794.961283071
301794.961292811, 301794.969553491
301794.969554311, 301794.977531571
301794.977532511, 301794.985609292
301794.985610152, 301794.993514352
301794.993515112, 301795.001740592
301795.001741372, 301795.009918173
301795.009918893, 301795.017809993
301795.017810893, 301795.025616793
301795.025617513, 301795.033411054
301795.033411854, 301795.041396234
301795.041397014, 301795.049364494
301795.049365374, 301795.057376735
301795.057377375, 301795.065743335
301795.065744315, 301795.073985935
301795.073986615, 301795.082052236
301795.082052816, 301795.090230196
301795.090230976, 301795.098331456
301795.098332036, 301795.106607277
301795.106607937, 301795.112577837
301795.112578697, 301795.120767238
301795.120767958, 301795.129200778
301795.129201658, 301795.137388918
301795.137390058, 301795.145405699
301795.145406439, 301795.153251199
301795.153252019, 301795.161391319
301795.161392219, 301795.169720819
301795.169721859, 301795.178144040
301795.178145120, 301795.186170220
301795.186198320, 301795.194221681
301795.194222801, 301795.202300421
301795.202301361, 301795.210229341
301795.210230181, 301795.218107142
301795.218107882, 301795.225993882
301795.225994822, 301795.234317282
301795.234318722, 301795.242670103
301795.242670903, 301795.250834963
301795.250835663, 301795.258510043
